Name,Location,Tagline,Category,Website,Founded,Description
Outnet,Karachi  Pakistan,Cloud based SaaS platform for planning  procuring  managing  evaluating and auditing OOH advertising. Outnet is a product of 24Grey Pvt Ltd,Advertising  OOH  Outdoor Advertising  Data and Analytics,http://www.outnet.com.pk,1st September  2014 ,24Grey is a T4M (technology for marketing) company with SaaS products for digitising offline workflows for marketing operations.
7Vals ,Lahore  Pakistan,Understanding and enabling businesses to improve productivity,Consulting  Rails  Product Development  UI,http://www.7vals.com,2011,We're changing the way businesses work by making SaaS based products that are sexy and fun. It's an exciting challenge.
92Solution,Lahore  Pakistan,92 Solution  A Pakistani Company Giving his Part to Design  Develop & Rank Business.,Consulting  Website & Software Development,http://92solution.com,7th January  2015 ,92 Solution is a Software & Website Development Company which is giving best solutions for your business needs.
A2Z Yellow Pages & Info Services,Lahore,Find local Businesses and Services in Pakistan including related deals  products  classifieds  jobs  videos  properties and events. ,Online Business Directory & Portal,https://www.yp-pak.com,30th January  2017 ,A2Z| Yellow Pages Pakistan will be the innovator in the field of E-Commerce  connecting millions of buyers and sellers across Pakistan. We have the expertise in digital media marketing  capabilities of generating LEADS for you and customer service principals beyond anyone in our industry. Our Mission is to make it easy to do business anywhere. A2Z| Yellow Pages Pakistan aims to provide smart yet cost effective solutions to address the challenge of reaching your potential market at a national level as it gives you the ability to unify mediums of communication and advertise your talents & businesses. We manage our online marketplace and business directories (Yellow Pages Pakistan) to provide you with a database that holds a variety of small & large businesses  suppliers & employers of Pakistan. Our professional team works hard to maintain the platform where you can communicate & engage effortlessly with relevant individuals across Pakistan  from Khyber to Karachi through Islamabad  Quetta and Lahore to as far as the northern areas including Kashmir and Gilgit Baltistan region. What You Get? Yellow Pages in an internationally known symbol for business directories but when you subscribe with us you donâ€™t only get FREE listing for a better reach. You get direct business opportunities from A2Z | Yellow Pages Pakistan in the form of business Leads. Value for Money Unlike others in business who rather make cosmetic changes to standard advertising templates and charge unjustified high prices A2Z/ Yellow Pages Pakistan gives true value for money. Generate Leads With a continuous supply of business Leads  A2Z| Yellow Pages Pakistan aims to help you to enhance sales which result in more revenue and generate a healthy cash flow. Advertise With A2Z| Yellow Pages Pakistan you can advertise your product or services to get more inquiries  even if you donâ€™t have a website!! Trade Looking for a platform that connects buyers and suppliers. A2Z/ Yellow Pages Pakistan is the answer!! Added Advantages - Free Classifieds - Free Product Listing - Free Deals Posting - Free Events Listing - Free Job Postings - Free Properties Listings - Free Videos Sharing - Free Blogs Writing
AALogics,Karachi  Pakistan,No Tagline,Consulting  Software,http://www.aalogics.com,1st August  2014 ,IT Consulting  Web development & Designing  Logo Designing  Custom Application Development  Portal Development  Responsive Websites  Ecommerce Consulting and other allied services under one roof.
AbBachao,Karachi  Pakistan,Perfect app that updates you with discounts you want  by the brands you love!,Application  E-commerce,http://www.abbachao.pk/,28th March  2016 ,Users can search deals as per their liking  and find offers closest to their location â€“ helping them to save time and money.
Adnan Brothers Collection Network,Nowshera  Khyber Pakhtunkhwa  Pakistan,Adnan Brothers Collection Network is providing services for their customers to pay their bills  money transfer  and and other Services.,Collection  Microfinance  Bills,http://abcn.pk/,2010,You can now pay your utility bills payments and do mobile top-ups for Warid  Ufone & Telenor at our one stop shop. Pay your electricity  Ptcl  gas and mobile bills in the easiest way . Our One Stop Shops are strategically located to ease the reach of our valued customers. Our courteous and friendly staff is trained to handle customers from varying backgrounds and different walks of lives. Equipped with our latest products and services our OSS have been designed to facilitate customers and provide all the convenience under one roof.
Affordable.pk Pvt Ltd,Lahore,Affordable.pk is Pakistan Fashion Ecommerce Marketplace which aim to promote Made in Pakistan products  brands & designers at low price tag.,Fashion E-Commerce Marketplace,https://www.affordable.pk/,22nd July  2015 ,Pakistan's Fashion Ecommerce Marketplave
Aitomation Private Limited,Lahore  Pakistan,We automate repetitive tasks on the computer via AI and machine learning.,Software,https://aitomation.com,1st December  2015 ,We mimic human actions on the computer via our bots. We automate all sorts of repetitive and redundant tasks on the computer.
Alfoze,Islamabad  PAkistan,Technology | Consulting | Innovation | Mobile Apps & Web based Software Specialist,Mobile Apps & Web based Software , http://www.alfoze.com ,2013,Alfoze Technologies is IT & Telecom Solutions & Services Provider . Present Portfolio of Services include Custom Software Development   Mobile Apps Development   Software Testing Services   Consulting & System Integration .
APIMatic,San Francisco  California,Monopolizing the DX of REST API's,Software,https://www.apimatic.io/,1st January  2013 ,No Description
Apna Table,Lahore  Pakistan,Pakistan's First Online Table Reservation portal.,Reservation,http://www.apnatable.pk,30th December  2016 ,APNATABLE.pk is a free  online reservation portal specifically designed for diners in Pakistan. We offer hassle-free reservation at your favorite restaurants through our website  mobile app and a phone call. We help you save your precious time  being wasted by waiting for a table at the restaurant. ApnaTable helps restaurants generating revenue through advertisement on different social channels.
AppsGenii ,Lahore  Pakistan,ENABLING PEOPLE & PROCESSES THROUGH MOBILITY!,Consulting  Enterprise Software  Mobile Enterprise  Ecommerce  Mobile Application,http://www.appsgenii.com,1st January  2008 ,We at AppsGenii are boosters of the business requirements that may vary significantly and thus  yields a need for customized webdevelopment & mobile app development to create value-added mobile phone applications developed exactly to your specific business requirements for enhanced efficiency  functionality and value addition.
Arkhitech,Islamabad  Pakistan,More  better  faster software!,Web Development  Android  iOS  Software  Information Technology  Mobile,http://www.arkhitech.com,28th June  2013 ,Arkhitech targets just that while delivering technology solutions to our clients/users. We specialise in the area of highly scalable and well-designed web and mobile applications. We approach technology as tools for devising solutions  and focus on using the best tools for getting the job done right.
Arpatech,Karachi,Arpatech is a boutique information technology services company delivering Mobile  E-Commerce  Web  Software Design and Development business,Services  Information Technology,http://www.arpatechventures.com/,2004,When in-house resources are limited  and affordable and effective technology solutions are needed  outsourcing your projects to experienced software engineer experts is the solution. Arpatech is your one-stop-shop for all your technology requirements. We provide end-to-end solutions - from analysis  design and development  to implementation  testing and ongoing support. We are much more than a technology services provider  we are a long term partner for your growing business.
Artsy,Karachi  Pakistan,Your complete Artsy Shop!,E-Commerce  Artists,http://artsy.pk,11th January  2016 ,Artsy works to empower artists to digital reach their fans and consumers in a marketplace environment earning by selling their designer products online without any inventory  delivery and IT costs
Assemblage ,214  Block B  13D/2 Gulshan e Iqbal Karachi  Pakistan ,Assemblage is an online Parenting Community and Shopping outlet for mindful parents to communicate and improve family life effectively.,e-Magazine  Website ,www.assemblagekids.com,16th June  2016 ,Welcome to Assemblage Community Assemblage is an online community for mindful children  parents and grandparents where they can learn  exchange and interact to improve and strengthen family lifestyle and everyday experiences. We put forward a team of consultants  child psychologists  mentors and parenting/family counselors as our guest speakers to educate and motivate people to become effective parents and grandparents. Most importantly  we empower them to become better humans in this world â€“ for the better today and tomorrow. To offer our best to 'Assemblage Community'  we have an educated senior citizen on board  popular as 'Mom Maggy'  who works tirelessly to improve family living across the globe. People love her ingenious tips and tricks  which are tried and tested for over years and have done wonders. Simply put  she nurtures family relationships between parents and their children! So whether you are a single parent  parent to be  couple or a grandparent  follow us to stay informed of the best of parenting lifestyle and tips and tricks. Together  we create a comfortable environment where you can throw your questions to our experts  share your experiences and can seek knowledge and solutions. Thus  we aim at making parenting easier  hassle free and a joyful experience for you! Last but not least  Assemblage offers an online store. At our store  we focus on delivering the highest standards of kid's accessories at competitive industry rates. Our experts suggest us the best picks for the season while ensuring that our range of outfits and accessories is eco-friendly  comfortable and less synthetic. So if you are worried about what latest trends you should go for  and how to shop big within your budget  check Assemblage Store. 
AssignMe,Karachi  Pakistan,Management solution for field workforce,Software,http://assignme.net/,1st January  2017 ,Itâ€™s difficult for companies or individuals who lead field work force to manage  view live location and maintain their Daily Time-sheets  Task Assignments  Job Scheduling  Client Management  Employee coordination and communication. Many companies are looking for effective tools to manage and track their field work force. AssignMe provides a collection of powerful tools to improve productivity and lower operational costs of managing field employees and operations. AssignMe users come from all kind of businesses managing everything from field sales to field services. AssignME is a powerful & highly customizable Mobile enabled solution with best-in-class features for managing your field work force. It provides Employee Location Tracking With Advanced Geofencing Capabilities  Location Maps  Security Alerts  Daily Time-sheets  Task Assignments and Job Scheduling  Client Management  Employee Messaging  Custom Data Forms for Field Employees  and many more advanced features needed to run complex and diverse field operations.
Atomicity Interactive,Lahore  Pakistan,"A ""Delivery Oriented"" firm well capable of handling any challenges related to Software Development  Graphics Design or Automation ",Software Consultancy  Services,http://atomicity-interactive.com/,1st November  2014 ,"We are a ""Delivery Oriented"" firm well capable of handling any challenges related to Software Design (mobile  desktop or web)  Graphics Design  Software testing  Automation  and technical documentation."
AugmentCare,Lahore  Pakistan,AugmentCare is your go-to source for everything in healthcare  providing support  advice  and convenient services in one stop. ,Digital Healthcare,http://www.augmentcare.com,2017,AugmentCare is your go-to source for everything in healthcare  providing support  advice  and convenient services in one stop. We are committed to transforming the concept of healthcare in Pakistan and the wider world by bringing healthcare to your fingertips with appointment bookings  video calls  stay-at-home lab tests  prescriptions  and more. 
AUN Solutions,Lahore  Pakistan,Cloud  Web  Mobile! All Technologies  beyond inspiration,Consulting  Software,http://aunsolutions.com/,4th February  2016 ,We develop advanced web applications and native-wrapped mobile websites. Our team specialize in ASP.NET  PHP  WordPress and others . Our flawless skills in Front-end  Back-end Development  Admin Panel  Databases and Server APIs can give your company website a real boast in generating high revenues.
AutoExpert,Karachi Â· Pakistan ,Preemptive Car Care At your Door,Mobile Â· E-Commerce Â· Automotive Â· Mobile Commerce,http://www.autoexpert.pk,2015,Our goal is to exceed your expectations for your vehicle service and repairs using the best available products applied by experienced technicians.
Autogenie,Lahore  Pakistan,Proudly making you lazy!,Automotive,http://www.autogenie.pk,14-Oct,It provides virtual car maintenance services that are simple  cost-effective  time-saving and convenient.
AutoX,Lahore  Pakistan,Auto X provides you car maintenance services at your doorstep.,Automobile & parts,http://www.autox.pk/,Not Provided. ,Auto X provides you car maintenance services at your doorstep. Services: Battery Maintenance Car Diagnostics Filters Replacement Fluids
AzaadHealth,Karachi  Pakistan,Working to solve inter-operability problem among hospitals. Allowing hospitals and patients to securely and easily exchange health records,Healthcare,https://www.azaadhealth.com,1st July  2016 ,AzaadHealth is a tech company working on a HIPAA complaint cloud health platform which aggregates patient health information from hospitals  pharmacies  laboratories and wearable fitness devices. We then apply big data predictive analysis to provide in-depth health insights to doctors and patients. For more information  please visit www.azaadhealth.com. 
Baby Planet,Lahore  Pakistan,to provide the best of baby brands/products to the parents of Pakistan on market competitive rates ,E-commerce,http://www.babyplanet.pk/,2014,The mission is to provide the best of baby brands/products to the parents of Pakistan on market competitive rates with the convenience.
Bakeware,Karachi  Pakistan,Pakistan's 1st Online Bakeware Marketplace!,Marketplace, http://www.bakeware.pk,16-Jan,Bakeware provides bakeware solutions at your doorstep ensuring whatever makes it to your ingredient list is 100% Halal. Bakeware also delivers baked goods ranging from cakes to baked savoury items from the best bakeries and cafes in Pakistan.
Batterybhai.pk,Rawalpindi  Pakistan,An E-Commerce site for Car and Inverter Batteries with free delivery and free professional installation.,E-Commerce,https://www.batterybhai.pk,1st September  2016 ,An E-Commerce site for Car and Inverter Batteries with free delivery and free professional installation.
BatteryLala,Rawalpindi/Islamabad,Online marketplace for Car Batteries and UPS Batteries. BatteryLala offers Free Delivery  Free Professional Installation  Cheapest Prices,E-Commerce,https://www.batterylala.com,1st April  2017 ,Online marketplace for Car Batteries and UPS Batteries. BatteryLala offers Free Delivery  Free Professional Installation  Cheapest Prices  Guaranteed Original Products.
Bear Necessities,Karachi  Pakistan,Bear Necessities makes durable leather classics for the adventurous. Our products include leather and canvas bags  wallets  covers and more.,E-Commerce,http://www.bnbags.pk,1st November  2014 ,Bear Necessities manufactures and sells leather products though their website www.bnbags.com
Beats Ventures & Consulting,Karachi  Pakistan,Enabling next generation of content creators to create path breaking content & distribute it as far and wide as possible.,Digital content creation and distribution  Media Consulting,http://www.beatsventure.com,16th December  2016 ,Specialize in digital content creation & distribution. Helping conventional media organizations transition to a digital world.
Beauty Hooked,Lahore  Pakistan,It allows you to find and book the perfect beauty service near you and avail exclusive discounts for services at top tier salons.,E-commerce  Marketplace,http://beautyhooked.com/,15-Apr,It allows you to find and book the perfect beauty service near you and avail exclusive discounts for services at top tier salons.
Beautyjinny,Lahore  Pakistan,This is an on-demand  app-based beauty provider delivering professional and affordable hair  makeup and nails at doorstep.,Fashion  Beauty,www.beautyjinny.com,6th August  2015 ,This is an on-demand  app-based beauty provider delivering professional and affordable hair  makeup and nails (currently available in Lahore only) services to your home  office  hotel  or wherever you may be. Operating in Lahore  the company plans to debut in other cities soon..
Being Student,Karachi  Pakistan,Being Student is a technology inspired venture and is a medium to bring about the much needed transformation in the field of education.,Education,http://www.beingstudent.com.pk/,11th March  2014 ,"We are an organization which offers products and services to all stakeholders of education using ""technology"" as our creative and driving force. Our business model connects them all and this means a direct positive impact on the society. The idea that the individuals meet their career goals  the professional find better opportunities to work and the organzation can hire the best talent and showcase their offerings all on a single platform makes Being Student a win-win scenario for everyone. We are proud of what we are doing!"
Bethree.pk,Lahore  Pakistan,This company is about property platform where homes apartment buy or sell and rent out your homes as well.,Property,https://www.bethree.pk,15th March  2017 ,This company provides you best buyer and seller of your property and also provides you rent out your home.
BETTERJOBSPK,Lahore  Pakistan,Find BetterJob in Your City. Improve your standard of living.,Recruitment,http://www.betterjobspk.com,10th September  2016 ,BETTERJOBSPK is one of the fastest growing job portal in Pakistan that help employees finding better jobs in better organizations.
Bitlogia,Sialkot  Pakistan,A FinTech startup focusing on building Blockchain based systems for banks to facilitate Trade Finance and B2B trade.,FinTech,http://www.bitlogia.com/,20th June  2017 ,Bitlogia has honor to be the first Pakistani FinTech to implement blockchain technology in the core of Banking and Trade Finace. Bitlogia is moving ahead with the cooperation of banks to facilitate cross-border trade by leveraging Bank APIs. Bitlogia is the first to introduce API economy in Banking 
Bitsym,Islamabad  Pakistan,Bitsym is in the business of design & development of internet of things solutions in Industrials  Ag-tech  Supply Chain  Health & Fitness. ,Consulting  Services,http://www.bitsym.com,28th May  2012 ,Founded by Saad Bin Qaisar  a Michigan State alum and senior member IEEE with numerous national and international awards under his belt . Bitsym is first company from Pakistan to make it to GEW50 (2012) and been named UNIDO national runners up with GEF (2015) among over 450 competing companies. Operating from its offices in Islamabad  Bitsym provides end-to-end connectivity solutions with its intelligent device SDK and cloud integration services for enabling informed decision making. Bitsym developes custom devices  applications and cloud hosted dashboards with integrated analytics for a complete end-to-end secure and intelligent solution. Bitsym's in-house SDK delivers on time and on budget solution to potential customers. Bitsym works with complementing partners on complete solution lifecycle  from scope elaboration to final approval from end customers. Bitsym has an inhouse product line with a vision to bring first world solutions to developing world at a price affordible by the developing world. 
BizByte,Karachi  Pakistan,BizByte is a digital media company disrupting news consumption by providing unconventional business content in a byte-sized fashion.,Media/news,http://bizbyte.pk,1st February  2017 ,Growing up in Pakistan  as the Internet quickly became a part of our lives and technology changed our lives forever  we saw the physical newspaper become obsolete. As online news consumption increased  we noticed that there werenâ€™t any go to digital media outlets or platforms that provided local and global business content. An opportunity arose for the entrepreneurs within us.. However after discussing with friends & family  we soon realized three things: Reading the news is time consuming; Wanting to read the news is a hobby; lastly  not everyone has the time or interest. BizByte was created to solve both these problems: by not only providing our audience a platform where they can consume all aggregated business content but saving them a ton of time by providing it in a byte-sized manner.
Black Collective (Private) Limited,Lahore  Pakistan,Black is a full-service partner to its clients  providing everything from brand planning to creative to product development,Services,http://black.com.pk,15th February  2015 ,Black is a group of individuals with a similar mind-set working together to bring the best services. Unlike other organizations  the services Black offers are highly diversified and cover almost all the aspects of business development. The company has worked in the following fields: Branding  UI Design  Product Design  Software Development  Mobile App Development  Web Development  IoT  Blockchain and Crypto.
BlisFix,Lahore  Pakistan,Spreading bliss in health care!,Technology  Medical,http://www.blisfix.com/,15-Nov,BlisFix was born out of a desire to build beautiful products with tremendous impact in healthcare.
Blockchain Tech,Karachi Pakistan,Bringing decentralization and distributed technologies to Pakistan. Leading with https://www.urdubit.com Pakistans bitcoin trading platform ,Software,https://blockchaintech.com.pk,1st October  2015 ,We are looking to build blockchain based tech. In doing so we want to bring transparency speed and validity to the current back end operations in the fintech sector. Starting with urdubit which is our first bitcoin trading platform. 
